artist,title,url
LE SSERAFIM,Love Shot,https://youtu.be/QMvHFpYN1GI?si=YXTwIUFmG2Np5-x6
YUKASULL,pocket locket,https://youtu.be/9tBXHqpY5jw?si=Q0BBuRd-bgOHXUYK
"PHARITA, AHYEON, RORA from BABYMONSTER",Golden,https://youtu.be/1TYYOw-815A?si=SRaccIJhfqXi4UyK
SULLYOON,Mr. Chu,https://youtu.be/N4fPJNr0Qsk?si=uiff5IIjZ1TSOxEW
BIGBANG,뱅뱅뱅 (BANG BANG BANG) + FANTASTIC BABY,https://youtu.be/EQsYfiPR9uM?si=Z0sEazLsZHPQ3SH-
G-DRAGON,"무제(Untitled, 2014)+POWER+HOME SWEET HOME+뱅뱅뱅+FANTASTIC BABY",https://youtu.be/Ox29z5Nf1Uk?si=su_Pgcni_kirCO8d
aespa,Whiplash (MAMA ver.),https://youtu.be/QB7eaAAIZAU?si=iify9POPqdPIfmvn
IVE&Kep1er&NMIXX&LE SSERAFIM&NewJeans,CHEER UP,https://youtu.be/d2heDnR3sjc?si=_wo2EbSXrBmtuK0k
IVE,해야 (HEYA) #2024MAMA,https://youtu.be/BtbizaxxrFI?si=XG63Zocxpf3BeJYI
LEE YOUNGJI,파이팅 해야지 + Smoke,https://youtu.be/RWxHJmVjUT0?si=GmL2YnesLyrrtdhP
"TWICE, Red Velvet, GFRIEND, I.O.I",Girl's Present,https://youtu.be/-P3rZOmau-g?si=GEDTsu2FieDK7wzK
GFRIEND & TWICE,Gee,https://youtu.be/3kva3820DDw?si=yLGHYfp8Fj6-NxAq
"HANI, SEOLHYUN, TZUYU",Tell Me + Nobody,https://youtu.be/ToFvleHGP84?si=EASBcYUNtaoHBQ0m
"TWICE, GFRIEND, SEVENTEEN, GOT7",24사시간이 모자라+Tell Me+어머니 누구니,https://youtu.be/QHxgjpIkssM?si=PQ_BWSJmjboohaxk
SEULGI X SinB X CHUNG HA X SOYEON,Wow Thing,https://youtu.be/KR5CtMLuiqQ?si=lykGvr3ID4LQlYTF
"TWICE,GFRIEND, I.O.I, Red Velvet",다시만난세계,https://youtu.be/icsHLra77t8?si=TnmUnwsnVixbavTX
"GOT THE BEAT (BOA, TAEYEON, HYOYEON, SEULGI, WENDY, KARINA, WINTER)",STEP BACK,https://youtu.be/uBY1AoiF5Vo?si=azdHzif7JGprlpJU
"TWICE, GOT7, DAY6, Stray Kids",성인식+나쁜 남자+Nobody+Again&Again+거짓말+날 떠나지마,https://youtu.be/cccwMzYZbRc?si=KiKmoc0eU2g1o6vP
"MINA, MOMO, DAHYUN, CHAEYOUNG",MOVE,https://youtu.be/QTfzryUBlO0?si=0aiJQENzXLkpb9fz
"LEE TEUK, BTS, GFRIEND, TWICE",Sorry Sorry,https://youtu.be/9oVZDspxn2g?si=G7NK0qeBoD0QWfyw
YUJIN & YOUNGJI,end of time & born this way,https://youtu.be/B4HwRQdRiiI?si=-JEJhwah19FDszZq
LEE EUNJI X MIMI X LEE YOUNGJI X AN YUJIN,Fire + I Am The Best,https://youtu.be/q_sDeIGSbf0?si=CARce4k68BD3V-LX
"KARINA, AN YUJIN",Killer,https://youtu.be/MmONqKigHEs?si=S4JJGfainktU5bNT
"BSS, DINO",파이팅 해야지,https://youtu.be/0npT8GmirsQ?si=_ZHXco0D5nzjaLQV
BLACKPINK,마지막처럼 (AS IF IT'S YOUR LAST),https://youtu.be/RxCoth-_tHs?si=iyvSghuu2h0JK5TK
TWICE,오늘부터 우리는 (Me Gustas Tu),https://youtu.be/BAM_swBFUSM?si=nciLZsmMvF0UOXn3
BLACKPINK ROSÉ in Coachella,KILL THIS LOVE,https://youtu.be/rd-nlloznQQ?si=bOcjZYKOow1FUpCh
WINNER,REALLY REALLY,https://youtu.be/sPai6vaGVJQ?si=U27hnBWDEK7J7Y0p
TREASURE,REALLY REALLY,https://youtu.be/12o-tSwVqF0?si=XrP-_gkm8YpOAEDS 
TREASURE,VolKno+JIKJIN+HELLO,https://youtu.be/kR98d_VHG-M?si=lAEEKOIrXAezwe3M
TREASURE,MOVE (T5) + BONA BONA,https://youtu.be/0WcFMIXmEF4?si=huDd4pPsFSLdaxOr
TREASURE,BOY + I LOVE YOU,https://youtu.be/5UkQFqqSbXI?si=jJPnBFdInxUKV-c0
TREASURE,MMM,https://youtu.be/OhHuNI8lX7A?si=25KN7nitV2f5eOer 
TREASURE,I Love You + Boy + MMM,https://youtu.be/MPQlvmgfLkA?si=F5_hen3_yTu3_Yc6
TREASURE,BOY + 직진 (JIKJIN) + DARARI (ROCK REMIX),https://youtu.be/ygVk-aP9Ehw?si=BCWhKMOFHCPpc3oC
TREASURE,BANG BANG BANG,https://youtu.be/CQgX7Jkg_ns?si=cNpudCBNTxA1rEts
TREASURE,다라리 DARARI (Rock.Ver),https://youtu.be/h5LdR1J5URU?si=ejwSkimRFuvKnVJw
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
